Date,TempC
6/30/2025 18:45,19.567
6/30/2025 19:00,19.377
6/30/2025 19:15,18.711
6/30/2025 19:30,18.236
6/30/2025 19:45,18.711
6/30/2025 20:00,20.519
6/30/2025 20:15,18.806
6/30/2025 20:30,18.521
6/30/2025 20:45,17.95
6/30/2025 21:00,17.76
6/30/2025 21:15,17.665
6/30/2025 21:30,17.665
6/30/2025 21:45,17.57
6/30/2025 22:00,17.284
6/30/2025 22:15,17.189
6/30/2025 22:30,16.999
6/30/2025 22:45,16.999
6/30/2025 23:00,16.808
6/30/2025 23:15,16.618
6/30/2025 23:30,16.618
6/30/2025 23:45,16.427
7/1/2025 0:00,16.237
7/1/2025 0:15,16.713
7/1/2025 0:30,17.379
7/1/2025 0:45,17.475
7/1/2025 1:00,17.475
7/1/2025 1:15,17.475
7/1/2025 1:30,17.475
7/1/2025 1:45,17.475
7/1/2025 2:00,17.475
7/1/2025 2:15,17.475
7/1/2025 2:30,17.475
7/1/2025 2:45,17.379
7/1/2025 3:00,17.379
7/1/2025 3:15,17.379
7/1/2025 3:30,17.379
7/1/2025 3:45,17.379
7/1/2025 4:00,17.379
7/1/2025 4:15,17.379
7/1/2025 4:30,17.284
7/1/2025 4:45,17.189
7/1/2025 5:00,17.094
7/1/2025 5:15,16.903
7/1/2025 5:30,16.427
7/1/2025 5:45,16.332
7/1/2025 6:00,16.427
7/1/2025 6:15,16.523
7/1/2025 6:30,16.713
7/1/2025 6:45,16.523
7/1/2025 7:00,16.427
7/1/2025 7:15,16.237
7/1/2025 7:30,16.523
7/1/2025 7:45,16.427
7/1/2025 8:00,16.141
7/1/2025 8:15,16.141
7/1/2025 8:30,16.141
7/1/2025 8:45,16.237
7/1/2025 9:00,16.141
7/1/2025 9:15,16.046
7/1/2025 9:30,15.855
7/1/2025 9:45,17.094
7/1/2025 10:00,16.713
7/1/2025 10:15,16.523
7/1/2025 10:30,16.618
7/1/2025 10:45,16.999
7/1/2025 11:00,16.808
7/1/2025 11:15,17.189
7/1/2025 11:30,17.189
7/1/2025 11:45,16.618
7/1/2025 12:00,17.189
7/1/2025 12:15,16.903
7/1/2025 12:30,16.903
7/1/2025 12:45,16.618
7/1/2025 13:00,16.332
7/1/2025 13:15,16.427
7/1/2025 13:30,16.713
7/1/2025 13:45,17.379
7/1/2025 14:00,17.475
7/1/2025 14:15,17.475
7/1/2025 14:30,17.475
7/1/2025 14:45,17.379
7/1/2025 15:00,17.57
7/1/2025 15:15,17.379
7/1/2025 15:30,17.57
7/1/2025 15:45,17.475
7/1/2025 16:00,17.475
7/1/2025 16:15,17.379
7/1/2025 16:30,17.284
7/1/2025 16:45,17.379
7/1/2025 17:00,17.57
7/1/2025 17:15,15.855
7/1/2025 17:30,16.237
7/1/2025 17:45,16.141
7/1/2025 18:00,15.76
7/1/2025 18:15,15.473
7/1/2025 18:30,15.855
7/1/2025 18:45,15.664
7/1/2025 19:00,16.237
7/1/2025 19:15,16.427
7/1/2025 19:30,15.951
7/1/2025 19:45,16.903
7/1/2025 20:00,17.475
7/1/2025 20:15,17.189
7/1/2025 20:30,17.57
7/1/2025 20:45,16.999
7/1/2025 21:00,16.332
7/1/2025 21:15,16.332
7/1/2025 21:30,15.855
7/1/2025 21:45,15.091
7/1/2025 22:00,14.421
7/1/2025 22:15,13.75
7/1/2025 22:30,13.269
7/1/2025 22:45,13.076
7/1/2025 23:00,12.69
7/1/2025 23:15,12.594
7/1/2025 23:30,12.401
7/1/2025 23:45,11.722
7/2/2025 0:00,11.722
7/2/2025 0:15,11.528
7/2/2025 0:30,11.431
7/2/2025 0:45,11.139
7/2/2025 1:00,10.944
7/2/2025 1:15,15.282
7/2/2025 1:30,16.618
7/2/2025 1:45,16.808
7/2/2025 2:00,16.808
7/2/2025 2:15,16.713
7/2/2025 2:30,16.713
7/2/2025 2:45,16.618
7/2/2025 3:00,16.618
